enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps,Evaluations,convergence(%),pvalues
229.15,20.447,0.5,0.043,13.434,18.539,87.257,229,"[341, 251, 154, 217, 178, 178, 186, 229, 183, 212, 179, 209, 277, 188, 401, 500, 466, 277, 210, 500]",90.0,"['-', 0.0041397802787493, 6.997725623095496e-05, 0.04679161534600049, 0.14784658271436188, 0.003193617700310067, 0.19414845126597868, 0.00026044718268417537, 0.0989315992014087, 0.0006536629671158899]"
529.116,21.363,0.5,0.01,15,30,210.089,182,"[500, 207, 204, 213, 500, 500, 500, 500, 500, 500, 194, 175, 500, 500, 500, 236, 500, 500, 307, 500]",35.0,"[0.0041397802787493, '-', 0.4818673682837039, 0.27925094536873785, 0.04112359406047486, 0.40935585574217404, 0.05651653736796189, 0.4734806277722057, 0.40935585574217404, 0.6849253186565316]"
1000,23.902,0.5,0.1,1,30,500,179,"[500, 500, 500, 363, 500, 500, 500, 500, 500, 194, 190, 500, 500, 386, 343, 500, 500, 500, 500, 500]",25.0,"[6.997725623095496e-05, 0.4818673682837039, '-', 0.03486637192888892, 0.0005629035598941275, 0.06786818721248442, 0.003966238640223918, 0.9031164959895642, 0.14041971470550127, 0.1332831707493199]"
1000,19.522,0.406,0.094,7.63,19.034,500,168,"[317, 500, 170, 500, 169, 201, 500, 252, 379, 341, 500, 317, 500, 465, 182, 353, 500, 500, 500, 177]",60.0,"[0.04679161534600049, 0.27925094536873785, 0.03486637192888892, '-', 0.20360267380135888, 0.5978625674290079, 0.35772797019341296, 0.08341508335601154, 0.892413863968481, 0.4488087629392732]"
543.927,17.196,0.5,0.01,6.335,7.209,500,163,"[309, 381, 203, 202, 239, 328, 344, 380, 500, 257, 234, 198, 258, 187, 244, 181, 500, 217, 317, 500]",85.0,"[0.14784658271436188, 0.04112359406047486, 0.0005629035598941275, 0.20360267380135888, '-', 0.01860472501001714, 0.6553614390103917, 0.0026771929603067327, 0.3234817459216911, 0.00904539678500551]"
1000,16.97,0.327,0.1,15,30,500,176,"[317, 500, 224, 389, 426, 500, 398, 500, 199, 499, 500, 500, 219, 405, 177, 500, 500, 432, 433, 267]",65.0,"[0.003193617700310067, 0.40935585574217404, 0.06786818721248442, 0.5978625674290079, 0.01860472501001714, '-', 0.1332831707493199, 0.08585487995041037, 0.9676346083712113, 0.9031164959895642]"
243.477,22.614,0.5,0.01,13.655,23.101,165.605,176,"[147, 146, 500, 420, 240, 198, 189, 483, 203, 195, 159, 329, 415, 312, 500, 338, 500, 340, 500, 500]",75.0,"[0.19414845126597868, 0.05651653736796189, 0.003966238640223918, 0.35772797019341296, 0.6553614390103917, 0.1332831707493199, '-', 0.009786486727077014, 0.38670799255173705, 0.09090738325062647]"
1000,30,0.5,0.043,10.226,5,500,187,"[500, 176, 500, 500, 500, 500, 500, 500, 254, 500, 500, 500, 500, 273, 500, 239, 221, 500, 500, 500]",25.0,"[0.00026044718268417537, 0.4734806277722057, 0.9031164959895642, 0.08341508335601154, 0.0026771929603067327, 0.08585487995041037, 0.009786486727077014, '-', 0.1635957256111319, 0.2732851201810752]"
526.669,21.53,0.5,0.01,1.307,23.098,267.4,147,"[185, 500, 500, 151, 174, 500, 500, 332, 500, 142, 500, 205, 146, 231, 500, 235, 500, 500, 500, 500]",45.0,"[0.0989315992014087, 0.40935585574217404, 0.14041971470550127, 0.892413863968481, 0.3234817459216911, 0.9676346083712113, 0.38670799255173705, 0.1635957256111319, '-', 0.6359445511344555]"
411.009,25.775,0.5,0.01,1,15.209,488.798,172,"[500, 367, 196, 291, 349, 284, 385, 500, 500, 500, 417, 305, 500, 367, 204, 293, 500, 500, 500, 500]",55.00000000000001,"[0.0006536629671158899, 0.6849253186565316, 0.1332831707493199, 0.4488087629392732, 0.00904539678500551, 0.9031164959895642, 0.09090738325062647, 0.2732851201810752, 0.6359445511344555, '-']"
