enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps,Evaluations,convergence(%),pvalues
622,18,0.213,0.054,8,6,177,339,"[304, 500, 500, 500, 500, 279, 500, 252, 382, 500, 500, 318, 500, 500, 236, 500, 500, 316, 353, 500]",40.0,"['-', 0.00869398609812749, 6.610446488702155e-05, 0.20360267380135888, 0.02944088441208284, 0.007711805017936966, 0.0007959163393098394, 0.10458826282895559, 0.0010140986852160438, 0.009409435392827698]"
478,26,0.355,0.012,8,23,166,242,"[314, 280, 278, 209, 299, 298, 236, 500, 251, 500, 257, 258, 500, 351, 434, 255, 493, 433, 361, 252]",85.0,"[0.00869398609812749, '-', 0.016668798824275466, 0.5699997477501184, 0.6849253186565316, 0.9460839766250224, 0.10172863141500606, 0.5978625674290079, 0.11049878401993231, 0.7352681529274933]"
913,14,0.299,0.089,8,8,245,238,"[246, 179, 257, 331, 207, 311, 500, 175, 243, 222, 314, 224, 309, 179, 328, 203, 316, 346, 197, 208]",95.0,"[6.610446488702155e-05, 0.016668798824275466, '-', 0.022269911309813137, 0.2616164678785774, 0.013833498919863277, 0.7557428276359095, 0.023073981745790676, 0.35772797019341296, 0.09352184948628163]"
548,21,0.276,0.075,7,11,337,187,"[201, 274, 500, 500, 500, 500, 265, 248, 500, 203, 500, 500, 200, 227, 263, 500, 324, 500, 500, 204]",50.0,"[0.20360267380135888, 0.5699997477501184, 0.022269911309813137, '-', 0.21338766418299016, 0.5885063552717107, 0.04112359406047486, 0.9892089047911196, 0.1231088149584372, 0.4488087629392732]"
487,15,0.266,0.043,6,15,472,180,"[500, 462, 177, 221, 500, 328, 500, 154, 415, 500, 262, 424, 280, 500, 500, 180, 184, 236, 159, 199]",70.0,"[0.02944088441208284, 0.6849253186565316, 0.2616164678785774, 0.21338766418299016, '-', 0.7660458933595257, 0.5608516966002302, 0.3301542612343653, 0.7250998943601429, 0.8392322130718609]"
887,16,0.136,0.028,5,11,293,220,"[269, 350, 266, 247, 348, 239, 365, 281, 500, 246, 272, 500, 303, 382, 317, 500, 412, 294, 261, 217]",85.0,"[0.007711805017936966, 0.9460839766250224, 0.013833498919863277, 0.5885063552717107, 0.7660458933595257, '-', 0.10172863141500606, 0.6072857658125611, 0.14409646897982906, 0.8604309737352772]"
278,26,0.413,0.03,3,15,139,214,"[212, 203, 500, 197, 194, 500, 181, 199, 315, 213, 193, 363, 214, 300, 189, 377, 500, 273, 289, 425]",85.0,"[0.0007959163393098394, 0.10172863141500606, 0.7557428276359095, 0.04112359406047486, 0.5608516966002302, 0.10172863141500606, '-', 0.08103174924185103, 0.4818673682837039, 0.2339662537301923]"
827,11,0.339,0.072,8,13,461,188,"[500, 292, 253, 295, 500, 337, 500, 500, 369, 184, 203, 500, 280, 264, 500, 500, 500, 275, 210, 207]",60.0,"[0.10458826282895559, 0.5978625674290079, 0.023073981745790676, 0.9892089047911196, 0.3301542612343653, 0.6072857658125611, 0.08103174924185103, '-', 0.14409646897982906, 0.4569506196695641]"
562,16,0.452,0.022,3,22,152,176,"[356, 500, 208, 500, 333, 218, 252, 276, 397, 292, 225, 311, 246, 240, 500, 213, 295, 197, 197, 196]",85.0,"[0.0010140986852160438, 0.11049878401993231, 0.35772797019341296, 0.1231088149584372, 0.7250998943601429, 0.14409646897982906, 0.4818673682837039, 0.14409646897982906, '-', 0.39417090995164517]"
211,14,0.247,0.028,2,22,372,219,"[294, 500, 500, 208, 328, 170, 253, 271, 351, 249, 285, 500, 195, 290, 386, 480, 268, 220, 500, 307]",80.0,"[0.009409435392827698, 0.7352681529274933, 0.09352184948628163, 0.4488087629392732, 0.8392322130718609, 0.8604309737352772, 0.2339662537301923, 0.4569506196695641, 0.39417090995164517, '-']"
