enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps,Evaluations,convergence(%),pvalues
509.774,19.501,0.416,0.048,10.674,16.294,186.637,181,"[207, 133, 203, 246, 196, 228, 225, 193, 158, 200, 167, 177, 168, 192, 146, 500, 171, 183, 411, 167]",95.0,"['-', 0.05651653736796189, 0.7763905055505131, 0.7557428276359095, 0.061977574433805, 5.8959172179215014e-05, 0.25029679750351186, 0.1332831707493199, 0.01606401314826911, 0.5427717015170068]"
510.311,17.694,0.38,0.057,7.267,13.919,288.598,167,"[256, 396, 223, 210, 297, 204, 209, 151, 172, 222, 215, 219, 216, 239, 254, 170, 237, 194, 127, 500]",95.0,"[0.05651653736796189, '-', 0.20845355458876536, 0.6359445511344555, 0.44074988359834266, 0.0023412726074935374, 0.6456228047372299, 0.9031164959895642, 0.6263280630826087, 0.49033426450951045]"
574.934,15.284,0.329,0.058,9.645,12.392,454.535,167,"[236, 136, 500, 179, 171, 215, 272, 177, 500, 182, 227, 165, 176, 152, 204, 215, 255, 154, 173, 171]",90.0,"[0.7763905055505131, 0.20845355458876536, '-', 0.8498180212406273, 0.10751135969600566, 0.00024706130132229516, 0.3039952778179398, 0.17621399555130546, 0.06786818721248442, 0.6948910198677665]"
448.524,22.15,0.5,0.1,13.684,11.721,423.675,147,"[185, 137, 160, 500, 139, 191, 200, 500, 133, 500, 500, 106, 500, 500, 160, 168, 135, 193, 424, 500]",65.0,"[0.7557428276359095, 0.6359445511344555, 0.8498180212406273, '-', 0.49033426450951045, 0.06786818721248442, 0.9031164959895642, 0.6359445511344555, 0.35772797019341296, 0.9568553503696526]"
487,15,0.266,0.043,6,15,472,180,"[192, 248, 195, 432, 202, 265, 168, 222, 156, 227, 326, 313, 500, 141, 500, 500, 138, 500, 180, 252]",80.0,"[0.061977574433805, 0.44074988359834266, 0.10751135969600566, 0.49033426450951045, '-', 0.08341508335601154, 0.39417090995164517, 0.5427717015170068, 0.7049097275727512, 0.23932370336933684]"
728.691,18.668,0.274,0.03,8.575,6.18,287.832,153,"[234, 500, 500, 185, 235, 241, 344, 225, 275, 230, 500, 236, 283, 308, 500, 200, 281, 500, 500, 500]",65.0,"[5.8959172179215014e-05, 0.0023412726074935374, 0.00024706130132229516, 0.06786818721248442, 0.08341508335601154, '-', 0.005795918475717191, 0.00490497196539969, 0.0027986021909070804, 0.0023412726074935374]"
538.199,19.355,0.392,0.01,11.418,11.723,500,155,"[302, 153, 457, 147, 204, 189, 208, 186, 416, 202, 500, 171, 184, 177, 327, 308, 165, 288, 179, 217]",95.0,"[0.25029679750351186, 0.6456228047372299, 0.3039952778179398, 0.9031164959895642, 0.39417090995164517, 0.005795918475717191, '-', 0.6359445511344555, 0.40172032908792543, 0.6750141566504884]"
477.677,16.273,0.325,0.1,3.847,17.018,257.512,167,"[500, 176, 183, 165, 197, 352, 219, 500, 197, 223, 223, 227, 176, 236, 500, 134, 204, 183, 421, 187]",85.0,"[0.1332831707493199, 0.9031164959895642, 0.17621399555130546, 0.6359445511344555, 0.5427717015170068, 0.00490497196539969, 0.6359445511344555, '-', 0.4569506196695641, 0.49033426450951045]"
770.583,17.941,0.316,0.048,8.496,18.971,183.153,146,"[199, 235, 177, 500, 500, 270, 270, 256, 164, 220, 198, 177, 224, 217, 202, 227, 210, 240, 212, 226]",90.0,"[0.01606401314826911, 0.6263280630826087, 0.06786818721248442, 0.35772797019341296, 0.7049097275727512, 0.0027986021909070804, 0.40172032908792543, 0.4569506196695641, '-', 0.21840551261012597]"
1000,16.788,0.396,0.01,4.947,9.812,483.154,182,"[198, 248, 219, 135, 153, 500, 156, 261, 139, 159, 193, 209, 217, 500, 181, 181, 227, 146, 299, 500]",85.0,"[0.5427717015170068, 0.49033426450951045, 0.6948910198677665, 0.9568553503696526, 0.23932370336933684, 0.0023412726074935374, 0.6750141566504884, 0.49033426450951045, 0.21840551261012597, '-']"
