enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps
938.442,19.48,0.403,0.035,5.855,22.012,202.584,175
899.776,19.739,0.383,0.039,7.175,19.728,268.658,181
935.388,25.305,0.5,0.1,7.04,12.046,292.232,151
461.745,25.015,0.5,0.097,2.678,16.814,238.763,153
487,15,0.266,0.043,6,15,472,180
915.742,14.221,0.347,0.089,7.607,18.23,231.52,163
640.631,20.526,0.42,0.026,7.329,17.643,238.153,165
1000,21.572,0.5,0.021,12.116,10.908,358.794,152
1000,20.09,0.387,0.056,1,19.829,222.053,144
252.745,17.128,0.362,0.01,2.749,8.868,356.284,186
