enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps
922.051,18.103,0.5,0.074,8.513,5,235.648,179
1000,22.218,0.469,0.01,11.427,13.122,53.157,212
969.193,20.558,0.451,0.1,12.195,15.985,235.02,157
283.95,30,0.5,0.1,8.294,7.156,500,160
487,15,0.266,0.043,6,15,472,180
932.934,19.733,0.325,0.041,7.79,30,417.948,165
349.262,20.494,0.391,0.1,15,13.663,218.724,158
972.113,25.272,0.5,0.1,9.731,8.174,378.819,162
961.799,19.527,0.269,0.02,4.316,10.395,228.463,157
441.591,17.687,0.392,0.04,4.351,16.412,500,191
