sol,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,pvalue
175,215,145,237,1000,1000,1000,187,127,157,168,0.7518296340458492
181,1000,1000,187,1000,165,129,1000,227,172,277,0.5270892568655381
151,190,217,1000,269,242,197,164,179,1000,206,0.11384629800665805
153,166,166,187,328,1000,177,215,1000,1000,173,0.11384629800665805
180,1000,186,198,219,1000,1000,189,146,232,168,0.34278171114791145
163,168,193,200,271,150,227,231,130,154,1000,0.5270892568655381
165,231,251,179,255,137,306,257,338,178,169,0.2059032107320684
152,217,211,185,166,223,288,268,251,227,1000,0.11384629800665805
144,283,224,1000,181,1000,154,194,1000,245,150,0.11384629800665805
186,171,214,160,282,212,1000,216,154,235,221,0.5270892568655381
