Solution,Evaluations,convergence,pvalue,conv_pvalue
185,"[210, 500, 500, 199, 219, 308, 354, 240, 249, 172, 182, 215, 287, 196, 153, 215, 295, 232, 231, 171]",90.0,0.32175033823889176,0.3613104285261787
181,"[149, 167, 201, 164, 188, 196, 237, 130, 235, 241, 500, 236, 262, 292, 258, 177, 168, 500, 500, 202]",85.0,0.5088828153535194,0.6298987074792255
167,"[278, 214, 228, 180, 188, 201, 150, 233, 154, 224, 161, 272, 256, 313, 209, 349, 200, 500, 192, 500]",90.0,0.24767626769189333,0.27332167829229814
153,"[165, 164, 210, 500, 255, 180, 218, 217, 173, 191, 201, 165, 161, 253, 147, 219, 250, 201, 206, 169]",95.0,0.1371995004149624,0.14045818220286102
180,"[151, 151, 191, 157, 500, 190, 233, 203, 500, 168, 500, 206, 164, 181, 176, 179, 231, 242, 163, 245]",85.0,0.7411815058736042,0.9232236323685895
163,"[177, 500, 241, 158, 500, 258, 242, 226, 227, 500, 215, 195, 262, 165, 174, 500, 500, 500, 500, 249]",65.0,0.1371995004149624,0.17244734471644352
165,"[158, 244, 500, 225, 227, 230, 500, 183, 225, 250, 267, 209, 285, 177, 227, 172, 159, 233, 164, 465]",90.0,0.24767626769189333,0.27332167829229814
152,"[225, 179, 500, 163, 205, 153, 315, 156, 236, 155, 301, 500, 199, 253, 500, 161, 157, 197, 185, 220]",85.0,0.09864761042929915,0.10134744296061156
130,"[191, 180, 238, 174, 500, 180, 500, 155, 500, 184, 131, 500, 192, 138, 500, 167, 158, 357, 176, 176]",75.0,0.09864761042929915,0.10374167823654154
168,"[206, 185, 357, 213, 239, 500, 156, 168, 500, 128, 221, 157, 329, 176, 176, 140, 500, 175, 184, 190]",85.0,0.3637223273807114,0.4407122191163778
