Solution,Evaluations,pvalue
185,"[230, 272, 175, 161, 134, 500, 296, 191, 154, 223, 153, 199, 500, 441, 235, 218, 154, 200, 148, 500]",0.620294015349161
181,"[169, 159, 199, 287, 230, 238, 373, 115, 206, 130, 183, 209, 186, 186, 148, 162, 154, 266, 176, 206]",0.7411815058736042
167,"[189, 177, 229, 159, 181, 224, 167, 196, 500, 500, 251, 131, 208, 194, 500, 203, 205, 161, 238, 500]",0.28307389315280884
153,"[360, 182, 151, 172, 163, 233, 188, 500, 500, 206, 500, 500, 193, 146, 153, 154, 176, 176, 187, 167]",0.21549950906932702
180,"[179, 500, 231, 239, 211, 203, 164, 174, 147, 156, 230, 280, 312, 169, 185, 175, 208, 500, 182, 183]",0.620294015349161
163,"[200, 178, 257, 167, 170, 206, 199, 304, 227, 215, 184, 243, 500, 148, 219, 234, 301, 179, 208, 183]",0.1371995004149624
165,"[188, 500, 182, 210, 179, 180, 202, 229, 207, 145, 191, 140, 226, 169, 273, 177, 185, 199, 225, 148]",0.24767626769189333
152,"[174, 184, 281, 293, 232, 177, 247, 443, 172, 211, 500, 249, 195, 153, 500, 175, 214, 500, 500, 193]",0.09864761042929915
130,"[147, 172, 184, 500, 230, 237, 401, 158, 500, 326, 350, 153, 147, 165, 128, 500, 199, 179, 207, 245]",0.1371995004149624
168,"[284, 165, 206, 185, 226, 500, 167, 193, 500, 132, 134, 234, 275, 500, 173, 196, 223, 160, 195, 167]",0.5088828153535194
