Solution,Evaluations,convergence(%),pvalue,conv_pvalue
179,"[500, 313, 256, 500, 218, 230, 500, 500, 500, 177, 500, 280, 228, 152, 500, 500, 342, 224, 500, 244]",55.00000000000001,0.18644918121998122,0.31063545633740075
212,"[199, 500, 202, 288, 251, 216, 301, 467, 500, 196, 337, 214, 298, 356, 263, 238, 247, 241, 225, 350]",90.0,0.24767626769189333,0.27332167829229814
157,"[176, 133, 196, 204, 496, 500, 422, 208, 169, 140, 158, 198, 170, 145, 188, 152, 129, 189, 500, 157]",90.0,0.4573905431688553,0.5228166539190886
160,"[500, 221, 253, 184, 500, 230, 500, 187, 265, 270, 238, 500, 285, 500, 188, 234, 500, 392, 253, 146]",70.0,0.1371995004149624,0.16491482255330148
180,"[163, 201, 500, 500, 234, 500, 243, 199, 500, 500, 500, 305, 500, 216, 205, 282, 193, 200, 310, 217]",65.0,0.1371995004149624,0.17244734471644352
165,"[500, 500, 500, 420, 500, 500, 235, 500, 500, 500, 500, 500, 500, 166, 500, 500, 500, 500, 500, 500]",15.0,0.09864761042929915,0.17971249487899976
158,"[177, 500, 186, 226, 189, 171, 148, 226, 156, 194, 500, 166, 228, 191, 161, 295, 270, 362, 500, 366]",85.0,0.18644918121998122,0.21025647777036904
162,"[195, 270, 222, 362, 192, 192, 424, 185, 500, 245, 289, 339, 247, 237, 265, 130, 172, 500, 214, 294]",90.0,0.1371995004149624,0.14412703481601533
157,"[299, 500, 210, 216, 173, 191, 500, 235, 242, 165, 201, 397, 308, 323, 251, 178, 290, 301, 336, 166]",90.0,0.09864761042929915,0.10034824646229075
191,"[195, 294, 500, 192, 193, 140, 289, 159, 267, 500, 222, 500, 187, 500, 192, 264, 238, 500, 195, 217]",75.0,0.24767626769189333,0.32897177441062453
