Solution,Evaluations,convergence(%),pvalue,conv_pvalue
181,"[215, 153, 199, 256, 200, 155, 433, 305, 235, 402, 217, 224, 148, 159, 206, 500, 196, 169, 359, 240]",95.0,0.4089613420368744,0.4351560724455289
167,"[243, 223, 222, 500, 183, 177, 279, 129, 500, 191, 231, 169, 179, 168, 500, 199, 160, 158, 365, 172]",85.0,0.24767626769189333,0.2890933151620182
167,"[179, 185, 500, 176, 204, 500, 223, 197, 500, 393, 167, 500, 290, 212, 211, 330, 190, 179, 252, 500]",75.0,0.11667744915847059,0.12888507323288942
147,"[179, 291, 500, 261, 500, 475, 324, 176, 500, 417, 500, 121, 500, 197, 500, 195, 500, 397, 325, 392]",65.0,0.1371995004149624,0.17244734471644352
180,"[200, 384, 203, 464, 210, 285, 313, 147, 377, 165, 239, 215, 130, 154, 364, 435, 163, 162, 447, 197]",100.0,0.5088828153535194,0.5088828153535194
153,"[500, 289, 244, 295, 500, 200, 500, 330, 500, 228, 190, 294, 500, 261, 300, 500, 224, 456, 500, 328]",65.0,0.09864761042929915,0.10686371499337947
155,"[316, 279, 136, 500, 221, 500, 500, 148, 240, 500, 269, 274, 250, 207, 500, 500, 179, 166, 178, 500]",65.0,0.18644918121998122,0.2642883452260276
167,"[500, 157, 151, 216, 167, 500, 176, 208, 183, 189, 175, 156, 138, 191, 500, 237, 201, 500, 358, 500]",75.0,0.3637223273807114,0.5151811696121633
146,"[166, 316, 291, 372, 500, 267, 500, 245, 228, 192, 199, 182, 160, 278, 334, 229, 211, 500, 234, 220]",85.0,0.09864761042929915,0.10134744296061156
182,"[500, 500, 151, 356, 199, 199, 500, 273, 154, 264, 198, 346, 212, 171, 170, 153, 320, 500, 142, 500]",75.0,0.5088828153535194,0.744881619545956
