enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps
677.628,13.548,0.299,0.069,8.511,15.441,172.2,193
669.785,13.444,0.323,0.016,8.548,19.225,327.318,191
1000,25.268,0.5,0.1,3.821,5,245.05,162
384.049,21.363,0.5,0.091,15,11.609,444.276,152
487,15,0.266,0.043,6,15,472,180
915.742,14.221,0.347,0.089,7.607,18.23,231.52,163
408.732,25.586,0.5,0.048,1,13.479,198.426,178
548.03,22.81,0.5,0.1,15,8.581,151.784,147
850.102,22.459,0.473,0.1,1,13.333,417.349,131
474.21,25.379,0.5,0.01,1,10.331,500,165
