enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps
507.943,15.378,0.376,0.1,7.816,9.655,286.799,185
899.776,19.739,0.383,0.039,7.175,19.728,268.658,181
703.797,16.221,0.3,0.097,1,14.317,317.656,167
461.745,25.015,0.5,0.097,2.678,16.814,238.763,153
487,15,0.266,0.043,6,15,472,180
915.742,14.221,0.347,0.089,7.607,18.23,231.52,163
640.631,20.526,0.42,0.026,7.329,17.643,238.153,165
1000,21.572,0.5,0.021,12.116,10.908,358.794,152
1000,21.939,0.469,0.085,5.857,9.607,500,130
388.939,21.031,0.476,0.019,1.994,9.07,393.357,168
