Solution,Evaluations,convergence(%),pvalue,conv_pvalue
229,"[216, 500, 188, 500, 150, 208, 353, 500, 146, 263, 500, 125, 500, 211, 213, 181, 223, 220, 188, 186]",75.0,0.620294015349161,0.2328233516916538
182,"[207, 153, 219, 206, 500, 219, 189, 241, 500, 201, 165, 281, 141, 281, 203, 500, 147, 209, 500, 151]",80.0,0.4089613420368744,0.5402913746074198
179,"[500, 244, 500, 194, 235, 500, 500, 180, 500, 205, 500, 235, 295, 197, 500, 201, 165, 500, 204, 500]",55.00000000000001,0.1371995004149624,0.1923794557848213
168,"[283, 130, 179, 194, 237, 242, 236, 227, 154, 500, 253, 222, 366, 229, 162, 226, 161, 277, 163, 191]",95.0,0.4089613420368744,0.4351560724455289
163,"[163, 279, 200, 190, 196, 316, 201, 500, 500, 423, 251, 177, 236, 157, 314, 210, 249, 244, 233, 135]",90.0,0.21549950906932702,0.23533326650958586
176,"[500, 191, 164, 266, 500, 500, 232, 208, 500, 246, 200, 191, 175, 203, 249, 224, 212, 207, 500, 161]",75.0,0.24767626769189333,0.32897177441062453
176,"[500, 223, 180, 181, 500, 158, 160, 223, 218, 283, 218, 280, 200, 194, 223, 212, 275, 500, 500, 196]",80.0,0.18644918121998122,0.22067136191984682
187,"[232, 192, 231, 297, 500, 210, 500, 500, 164, 183, 200, 188, 165, 185, 211, 182, 234, 232, 500, 182]",80.0,0.5088828153535194,0.6830913983096087
147,"[168, 265, 135, 167, 222, 149, 235, 170, 500, 346, 500, 169, 209, 500, 235, 172, 201, 148, 172, 184]",85.0,0.1371995004149624,0.14828710464180647
172,"[255, 500, 207, 141, 133, 142, 462, 248, 334, 158, 153, 179, 253, 241, 283, 167, 241, 196, 246, 500]",90.0,0.5088828153535194,0.5838824207703652
