Solution,Evaluations,convergence(%),pvalue,conv_pvalue
181,"[173, 154, 138, 268, 170, 171, 202, 435, 352, 431, 217, 347, 184, 500, 182, 387, 231, 309, 233, 234]",95.0,0.4089613420368744,0.4351560724455289
167,"[133, 189, 159, 204, 500, 152, 176, 181, 500, 292, 500, 279, 500, 171, 198, 181, 182, 243, 160, 176]",80.0,0.32175033823889176,0.4142161782425252
167,"[167, 294, 165, 207, 164, 500, 198, 191, 227, 224, 174, 145, 180, 203, 317, 319, 189, 221, 191, 200]",95.0,0.28307389315280884,0.29809282200470755
147,"[326, 500, 500, 213, 389, 234, 145, 500, 500, 426, 226, 190, 445, 147, 128, 500, 186, 430, 193, 500]",70.0,0.21549950906932702,0.2976214678911162
180,"[257, 391, 195, 204, 199, 355, 500, 174, 220, 374, 205, 500, 224, 227, 260, 165, 492, 215, 234, 318]",90.0,0.18644918121998122,0.20124262095772394
153,"[500, 500, 500, 241, 335, 500, 500, 234, 219, 500, 500, 164, 500, 500, 288, 500, 289, 311, 242, 500]",45.0,0.09864761042929915,0.11718508719813801
155,"[173, 171, 180, 500, 173, 169, 158, 193, 177, 339, 500, 160, 376, 272, 288, 234, 281, 198, 199, 467]",90.0,0.09864761042929915,0.10034824646229075
167,"[500, 232, 199, 500, 500, 188, 202, 256, 203, 166, 500, 500, 500, 173, 222, 154, 188, 243, 217, 270]",70.0,0.18644918121998122,0.24715997321190708
146,"[279, 167, 256, 197, 177, 386, 184, 247, 222, 204, 226, 249, 240, 227, 155, 500, 220, 280, 266, 500]",90.0,0.09864761042929915,0.10034824646229075
182,"[169, 180, 185, 237, 164, 140, 205, 155, 500, 145, 254, 191, 211, 186, 500, 142, 306, 500, 155, 150]",85.0,0.8688301969253137,0.9232236323685895
